AK,18345349.693582997
AL,141856709.5339229
AR,88087057.6339599
AZ,155767836.91646844
CA,918056882.2783532
CO,97740244.86247042
CT,124129387.75130177
DC,38011508.27016995
DE,28221295.439904995
FL,554274754.972363
GA,231527684.7352378
HI,26899470.726505
IA,78141674.79413466
ID,28666479.641387
IL,391297470.82213676
IN,197962605.21835786
KS,77151291.4469911
KY,142609122.46720317
LA,127298219.73967671
MA,251902532.0264575
MD,258361157.72159758
ME,39193037.17008596
MI,310651329.62692994
MN,142831368.4931656
MO,195858222.4320122
MS,99739083.82424325
MT,24711087.976422995
NC,254572166.52399653
ND,25007899.23751001
NE,53621303.80298913
NH,42920183.70260689
NJ,295138671.57930905
NM,42756040.88505904
NV,67631384.51192519
NY,603499081.5502394
OH,314047273.02498823
OK,110707654.59780568
OR,78997782.19404405
PA,379935060.5191384
RI,31953108.805945996
SC,137423433.77273536
SD,27201344.26830602
TN,183362445.05886254
TX,571827308.4575999
UT,40493763.50512412
VA,212941548.1739553
VT,17477497.197612997
WA,163342445.7056479
WI,137406049.27972835
WV,63913387.359237105
WY,13094937.64848502
